cluster	rules	precision_clusters	recall_clusters
0	rule (free text)	0.329797370824963	0.0421281310264021
1	rule (free text)	0.267008045455441	0.766675361897796
2	rule (free text)	0.329310480738059	0.731029154267162
3	rule (free text)	0.851302630500868	0.0329193184152246
4	rule (free text)	0.0929564510006458	0.555584919638932
5	rule (free text)	0.392423435579985	0.499500255100429
6	rule (free text)	0.472654573852196	0.360680550336838
7	rule (free text)	0.0288157905451953	0.520523454993963
8	rule (free text)	0.313166127773002	0.996215139748529
9	rule (free text)	0.802458880469203	0.908483092673123
